"","Daily cases (bars)","7-day average (line)"
"03/03/20","0.0","0.7"
"04/03/20","1","0.9"
"05/03/20","0","0.4"
"06/03/20","0","0.4"
"07/03/20","1","0.6"
"08/03/20","1","0.4"
"09/03/20","3","0.9"
"10/03/20","3","1.3"
"11/03/20","3","1.6"
"12/03/20","6","2.4"
"13/03/20","9","3.7"
"14/03/20","13","5.4"
"15/03/20","8","6.4"
"16/03/20","14","8.0"
"17/03/20","23","10.9"
"18/03/20","27","14.3"
"19/03/20","29","17.6"
"20/03/20","28","20.3"
"21/03/20","51","25.7"
"22/03/20","67","34.1"
"23/03/20","61","40.9"
"24/03/20","56","45.6"
"25/03/20","55","49.6"
"26/03/20","54","53.1"
"27/03/20","54","56.9"
"28/03/20","111","65.4"
"29/03/20","84","67.9"
"30/03/20","52","66.6"
"31/03/20","96","72.3"
"01/04/20","51","71.7"
"02/04/20","68","73.7"
"03/04/20","49","73.0"
"04/04/20","30","61.4"
"05/04/20","20","52.3"
"06/04/20","23","48.1"
"07/04/20","33","39.1"
"08/04/20","21","34.9"
"09/04/20","16","27.4"
"10/04/20","13","22.3"
"11/04/20","24","21.4"
"12/04/20","3","19.0"
"13/04/20","13","17.6"
"14/04/20","10","14.3"
"15/04/20","8","12.4"
"16/04/20","2","10.4"
"17/04/20","1","8.7"
"18/04/20","17","7.7"
"19/04/20","9","8.6"
"20/04/20","1","6.9"
"21/04/20","7","6.4"
"22/04/20","2","5.6"
"23/04/20","1","5.4"
"24/04/20","6","6.1"
"25/04/20","3","4.1"
"26/04/20","3","3.3"
"27/04/20","1","3.3"
"28/04/20","2","2.6"
"29/04/20","3","2.7"
"30/04/20","7","3.6"
"01/05/20","3","3.1"
"02/05/20","7","3.7"
"03/05/20","13","5.1"
"04/05/20","22","8.1"
"05/05/20","17","10.3"
"06/05/20","17","12.3"
"07/05/20","14","13.3"
"08/05/20","14","14.9"
"09/05/20","11","15.4"
"10/05/20","10","15.0"
"11/05/20","7","12.9"
"12/05/20","17","12.9"
"13/05/20","7","11.4"
"14/05/20","9","10.7"
"15/05/20","21","11.7"
"16/05/20","11","11.7"
"17/05/20","7","11.3"
"18/05/20","8","11.4"
"19/05/20","7","10.0"
"20/05/20","8","10.1"
"21/05/20","4","9.4"
"22/05/20","12","8.1"
"23/05/20","10","8.0"
"24/05/20","2","7.3"
"25/05/20","2","6.4"
"26/05/20","5","6.1"
"27/05/20","8","6.1"
"28/05/20","10","7.0"
"29/05/20","7","6.3"
"30/05/20","11","6.4"
"31/05/20","6","7.0"
"01/06/20","4","7.3"
"02/06/20","10","8.0"
"03/06/20","7","7.9"
"04/06/20","8","7.6"
"05/06/20","3","7.0"
"06/06/20","0","5.4"
"07/06/20","4","5.1"
"08/06/20","2","4.9"
"09/06/20","0","3.4"
"10/06/20","4","3.0"
"11/06/20","8","3.0"
"12/06/20","4","3.1"
"13/06/20","8","4.3"
"14/06/20","9","5.0"
"15/06/20","12","6.4"
"16/06/20","9","7.7"
"17/06/20","21","10.1"
"18/06/20","18","11.6"
"19/06/20","13","12.9"
"20/06/20","25","15.3"
"21/06/20","19","16.7"
"22/06/20","16","17.3"
"23/06/20","17","18.4"
"24/06/20","20","18.3"
"25/06/20","33","20.4"
"26/06/20","30","22.9"
"27/06/20","41","25.1"
"28/06/20","49","29.4"
"29/06/20","75","37.9"
"30/06/20","64","44.6"
"01/07/20","73","52.1"
"02/07/20","77","58.4"
"03/07/20","66","63.6"
"04/07/20","108","73.1"
"05/07/20","74","76.7"
"06/07/20","127","84.1"
"07/07/20","191","102.3"
"08/07/20","134","111.0"
"09/07/20","165","123.6"
"10/07/20","288","155.3"
"11/07/20","216","170.7"
"12/07/20","273","199.1"
"13/07/20","177","206.3"
"14/07/20","270","217.6"
"15/07/20","238","232.4"
"16/07/20","317","254.1"
"17/07/20","428","274.1"
"18/07/20","217","274.3"
"19/07/20","363","287.1"
"20/07/20","275","301.1"
"21/07/20","374","316.0"
"22/07/20","484","351.1"
"23/07/20","403","363.4"
"24/07/20","300","345.1"
"25/07/20","357","365.1"
"26/07/20","459","378.9"
"27/07/20","532","415.6"
"28/07/20","384","417.0"
"29/07/20","295","390.0"
"30/07/20","723","435.7"
"31/07/20","627","482.4"
"01/08/20","397","488.1"
"02/08/20","671","518.4"
"03/08/20","429","503.7"
"04/08/20","439","511.6"
"05/08/20","725","573.0"
"06/08/20","471","537.0"
"07/08/20","450","511.7"
"08/08/20","466","521.6"
"09/08/20","394","482.0"
"10/08/20","322","466.7"
"11/08/20","331","451.3"
"12/08/20","410","406.3"
"13/08/20","278","378.7"
"14/08/20","372","367.6"
"15/08/20","303","344.3"
"16/08/20","279","327.9"
"17/08/20","282","322.1"
"18/08/20","222","306.6"
"19/08/20","216","278.9"
"20/08/20","240","273.4"
"21/08/20","179","245.9"
"22/08/20","182","228.6"
"23/08/20","208","218.4"
"24/08/20","116","194.7"
"25/08/20","148","184.1"
"26/08/20","149","174.6"
"27/08/20","113","156.4"
"28/08/20","113","147.0"
"29/08/20","94","134.4"
"30/08/20","114","121.0"
"31/08/20","73","114.9"
"01/09/20","70","103.7"
"02/09/20","90","95.3"
"03/09/20","113","95.3"
"04/09/20","81","90.7"
"05/09/20","76","88.1"
"06/09/20","63","80.9"
"07/09/20","41","76.3"
"08/09/20","55","74.1"
"09/09/20","76","72.1"
"10/09/20","51","63.3"
"11/09/20","43","57.9"
"12/09/20","37","52.3"
"13/09/20","41","49.1"
"14/09/20","35","48.3"
"15/09/20","42","46.4"
"16/09/20","42","41.6"
"17/09/20","28","38.3"
"18/09/20","45","38.6"
"19/09/20","21","36.3"
"20/09/20","14","32.4"
"21/09/20","11","29.0"
"22/09/20","28","27.0"
"23/09/20","15","23.1"
"24/09/20","12","20.9"
"25/09/20","14","16.4"
"26/09/20","12","15.1"
"27/09/20","16","15.4"
"28/09/20","5","14.6"
"29/09/20","10","12.0"
"30/09/20","13","11.7"
"01/10/20","15","12.1"
"02/10/20","7","11.1"
"03/10/20","8","10.6"
"04/10/20","12","10.0"
"05/10/20","9","10.6"
"06/10/20","15","11.3"
"07/10/20","6","10.3"
"08/10/20","11","9.7"
"09/10/20","11","10.3"
"10/10/20","14","11.1"
"11/10/20","12","11.1"
"12/10/20","15","12.0"
"13/10/20","12","11.6"
"14/10/20","7","11.7"
"15/10/20","6","11.0"
"16/10/20","2","9.7"
"17/10/20","1","7.9"
"18/10/20","2","6.4"
"19/10/20","4","4.9"
"20/10/20","1","3.3"
"21/10/20","3","2.7"
"22/10/20","5","2.6"
"23/10/20","1","2.4"
"24/10/20","7","3.3"
"25/10/20","7","4.0"
"26/10/20","0","3.4"
"27/10/20","0","3.3"
"28/10/20","2","3.1"
"29/10/20","3","2.9"
"30/10/20","4","3.3"
"31/10/20","0","2.3"
"01/11/20","0","1.3"
"02/11/20","0","1.3"
"03/11/20","0","1.3"
"04/11/20","0","1.0"
"05/11/20","0","0.6"
"06/11/20","0","0.0"
"07/11/20","0","0.0"
"08/11/20","0","0.0"
"09/11/20","0","0.0"
"10/11/20","0","0.0"
"11/11/20","0","0.0"
"12/11/20","0","0.0"
"13/11/20","0","0.0"
"14/11/20","0","0.0"
"15/11/20","0","0.0"
"16/11/20","0","0.0"
"17/11/20","0","0.0"
"18/11/20","0","0.0"
"19/11/20","0","0.0"
"20/11/20","0","0.0"
"21/11/20","0","0.0"
"22/11/20","0","0.0"
"23/11/20","0","0.0"
"24/11/20","0","0.0"
"25/11/20","0","0.0"
"26/11/20","0","0.0"
"27/11/20","0","0.0"
"28/11/20","0","0.0"
"29/11/20","0","0.0"
"30/11/20","0","0.0"
"01/12/20","0","0.0"
"02/12/20","0","0.0"
"03/12/20","0","0.0"
"04/12/20","0","0.0"
"05/12/20","0","0.0"
"06/12/20","0","0.0"
"07/12/20","0","0.0"
"08/12/20","0","0.0"
"09/12/20","0","0.0"
"10/12/20","0","0.0"
"11/12/20","0","0.0"
"12/12/20","5","0.7"
"13/12/20","1","0.9"
"14/12/20","1","1.0"
"15/12/20","0","1.0"
"16/12/20","0","1.0"
"17/12/20","0","1.0"
"18/12/20","1","1.1"
"19/12/20","2","0.7"
"20/12/20","2","0.9"
"21/12/20","1","0.9"
"22/12/20","3","1.3"
"23/12/20","1","1.4"
"24/12/20","0","1.4"
"25/12/20","0","1.3"
"26/12/20","0","1.0"
"27/12/20","1","0.9"
"28/12/20","2","1.0"
"29/12/20","0","0.6"
"30/12/20","1","0.6"
"31/12/20","3","1.0"
"01/01/21","8","2.1"
"02/01/21","12","3.9"
"03/01/21","3","4.1"
"04/01/21","4","4.4"
"05/01/21","4","5.0"
"06/01/21","3","5.3"
"07/01/21","0","4.9"
"08/01/21","1","3.9"
"09/01/21","1","2.3"
"10/01/21","6","2.7"
"11/01/21","1","2.3"
"12/01/21","0","1.7"
"13/01/21","3","1.7"
"14/01/21","0","1.7"
"15/01/21","2","1.9"
"16/01/21","3","2.1"
"17/01/21","7","2.3"
"18/01/21","4","2.7"
"19/01/21","4","3.3"
"20/01/21","3","3.3"
"21/01/21","1","3.4"
"22/01/21","1","3.3"
"23/01/21","3","3.3"
"24/01/21","1","2.4"
"25/01/21","6","2.7"
"26/01/21","1","2.3"
"27/01/21","2","2.1"
"28/01/21","3","2.4"
"29/01/21","1","2.4"
"30/01/21","1","2.1"
"31/01/21","0","2.0"
"01/02/21","1","1.3"
"02/02/21","1","1.3"
"03/02/21","0","1.0"
"04/02/21","3","1.0"
"05/02/21","3","1.3"
"06/02/21","0","1.1"
"07/02/21","0","1.1"
"08/02/21","1","1.1"
"09/02/21","0","1.0"
"10/02/21","2","1.3"
"11/02/21","2","1.1"
"12/02/21","5","1.4"
"13/02/21","1","1.6"
"14/02/21","3","2.0"
"15/02/21","2","2.1"
"16/02/21","4","2.7"
"17/02/21","0","2.4"
"18/02/21","1","2.3"
"19/02/21","3","2.0"
"20/02/21","0","1.9"
"21/02/21","0","1.4"
"22/02/21","0","1.1"
"23/02/21","0","0.6"
"24/02/21","0","0.6"
"25/02/21","0","0.4"
"26/02/21","2","0.3"
"27/02/21","0","0.3"
"28/02/21","0","0.3"
"01/03/21","0","0.3"
"02/03/21","0","0.3"
"03/03/21","0","0.3"
"05/03/21","0","0.3"
"05/03/21","0","0.0"
"06/03/21","1","0.1"
"07/03/21","0","0.1"
"08/03/21","1","0.3"
"09/03/21","1","0.4"
"10/03/21","0","0.4"
"11/03/21","0","0.4"
"12/03/21","0","0.4"
"13/03/21","0","0.3"
"14/03/21","0","0.3"
"15/03/21","0","0.1"
"16/03/21","0","0.0"
"17/03/21","0","0.0"
"18/03/21","0","0.0"
"19/03/21","0","0.0"
"20/03/21","0","0.0"
"21/03/21","0","0.0"
"22/03/21","0","0.0"
"23/03/21","0","0.0"
"24/03/21","0","0.0"
"25/03/21","0","0.0"
"26/03/21","0","0.0"
"27/03/21","0","0.0"
"28/03/21","0","0.0"
"29/03/21","1","0.1"
"30/03/21","0","0.1"
"31/03/21","0","0.1"
"01/04/21","0","0.1"
"02/04/21","0","0.1"
"03/04/21","0","0.1"
"04/04/21","0","0.1"
"05/04/21","0","0.0"
"06/04/21","0","0.0"
"07/04/21","0","0.0"
"08/04/21","0","0.0"
"09/04/21","0","0.0"
"10/04/21","1","0.1"
"11/04/21","0","0.1"
"12/04/21","2","0.4"
"13/04/21","0","0.4"
"14/04/21","0","0.4"
"15/04/21","5","1.1"
"16/04/21","0","1.1"
"17/04/21","2","1.3"
"18/04/21","0","1.3"
"19/04/21","4","1.6"
"20/04/21","1","1.7"
"21/04/21","3","2.1"
"22/04/21","2","1.7"
"23/04/21","3","2.1"
"24/04/21","1","2.0"
"25/04/21","1","2.1"
"26/04/21","0","1.6"
"27/04/21","4","2.0"
"28/04/21","2","1.9"
"29/04/21","1","1.7"
"30/04/21","2","1.6"
"01/05/21","3","1.9"
"02/05/21","1","1.9"
"03/05/21","1","2.0"
"04/05/21","1","1.6"
"05/05/21","0","1.3"
"06/05/21","2","1.4"
"07/05/21","0","1.1"
"08/05/21","1","0.9"
"09/05/21","6","1.6"
"10/05/21","2","1.7"
"11/05/21","2","1.9"
"12/05/21","0","1.9"
"13/05/21","1","1.7"
"14/05/21","1","1.9"
"15/05/21","1","1.9"
"16/05/21","4","1.6"
"17/05/21","1","1.4"
"18/05/21","0","1.1"
"19/05/21","1","1.3"
"20/05/21","0","1.1"
"21/05/21","0","1.0"
"22/05/21","0","0.9"
"23/05/21","1","0.4"
"24/05/21","2","0.6"
"25/05/21","4","1.1"
"26/05/21","10","2.4"
"27/05/21","12","4.1"
"28/05/21","6","5.0"
"29/05/21","7","6.0"
"30/05/21","6","6.7"
"31/05/21","5","7.1"
"01/06/21","11","8.1"
"02/06/21","6","7.6"
"03/06/21","3","6.3"
"04/06/21","6","6.3"
"05/06/21","6","6.1"
"06/06/21","8","6.4"
"07/06/21","11","7.3"
"08/06/21","3","6.1"
"09/06/21","1","5.4"
"10/06/21","4","5.6"
"11/06/21","1","4.9"
"12/06/21","4","4.6"
"13/06/21","1","3.6"
"14/06/21","6","2.9"
"15/06/21","3","2.9"
"16/06/21","8","3.9"
"17/06/21","1","3.4"
"18/06/21","1","3.4"
"19/06/21","3","3.3"
"20/06/21","2","3.4"
"21/06/21","9","3.9"
"22/06/21","2","3.7"
"23/06/21","1","2.7"
"24/06/21","5","3.3"
"25/06/21","0","3.1"
"26/06/21","4","3.3"
"27/06/21","3","3.4"
"28/06/21","2","2.4"
"29/06/21","2","2.4"
"30/06/21","2","2.6"
"01/07/21","0","1.9"
"02/07/21","3","2.3"
"03/07/21","0","1.7"
"04/07/21","1","1.4"
"05/07/21","2","1.4"
"06/07/21","2","1.4"
"07/07/21","0","1.1"
"08/07/21","0","1.1"
"09/07/21","1","0.9"
"10/07/21","3","1.3"
"11/07/21","0","1.1"
"12/07/21","2","1.1"
"13/07/21","1","1.0"
"14/07/21","1","1.1"
"15/07/21","10","2.6"
"16/07/21","11","4.0"
"17/07/21","20","6.4"
"18/07/21","18","9.0"
"19/07/21","14","10.7"
"20/07/21","15","12.7"
"21/07/21","23","15.9"
"22/07/21","28","18.4"
"23/07/21","14","18.9"
"24/07/21","12","17.7"
"25/07/21","12","16.9"
"26/07/21","12","16.6"
"27/07/21","10","15.9"
"28/07/21","8","13.7"
"29/07/21","7","10.7"
"30/07/21","3","9.1"
"31/07/21","2","7.7"
"01/08/21","4","6.6"
"02/08/21","2","5.1"
"03/08/21","5","4.4"
"04/08/21","0","3.3"
"05/08/21","6","3.1"
"06/08/21","6","3.6"
"07/08/21","29","7.4"
"08/08/21","13","8.7"
"09/08/21","11","10.0"
"10/08/21","20","12.1"
"11/08/21","20","15.0"
"12/08/21","23","17.4"
"13/08/21","15","18.7"
"14/08/21","21","17.6"
"15/08/21","25","19.3"
"16/08/21","22","20.9"
"17/08/21","25","21.6"
